liquido	13
cefalorraquideo	1
menos	684
tras	541
oculopatía	24
tardía	771
afectaciones	1
oculares	307
tardías	24
neurosífilis	86
juvenil	1073
atrofia	1297
nervio	10604
óptico	792
paresia	110
demencia	564
paralítica	91
tabeto-parética	1
tabes	51
dorsal	5564
trastorno	128637
sifilítico	519
congénito	2303
tardío	639
manifiesta	23
después	2563
clutton	4
dientes	973
hutchinson	44
tríada	49
cardiovascular	1041
artropatía	1351
silla	1170
montar	90
reacción	8627
serológica	196
test	67
negativo	617
líquido	4374
cefalorraquídeo	881
genital	1479
chancro	76
anal	1270
secundaria	5462
mucosas	145
condiloma	43
latum	27
alopecia	294
secundarias	101
leucoderma	8
placa	1097
mucosa	2498
iritis	114
uveítis	169
nefritis	363
sifilíticas	4
hepatitis	2159
osteopatía	168
trastornos	4031
sifilíticos	7
secundarios	66
adquirida	2673
cerebrovascular	972
aneurisma	1829
aorta	2493
aortitis	29
estenosis	2458
válvula	4412
mitral	1200
incompetencia	151
aórtica	1161
regurgitación	119
cerebrovasculares	27
ruptura	2524
trombosis	1520
arteria	17336
coronaria	2289
ataxia	522
locomotriz	19
progresiva	693
tabética	22
cefalorraquídeas	1
neuropatía	911
óptica	926
acústica	58
charcôt	62
parálisis	1357
parkinsonismo	123
goma	400
sifiloma	8
respiratorios	424
vísceras	37
glomerular	255
genitourinaria	250
tejidos	954
musculoesqueléticos	43
bursitis	471
fase	779
bolsa	3038
sinovial	1445
tendón	5637
esplenomegalia	101
suprarrenal	1374
2	12315
treponema	162
pallidum	90
gonocócica	423
inferior	11957
periuretral	181
accesoria	332
cervicitis	89
gonocócicas	10
accesorias	12
gonocócico	30
bartholin	23
pelviperitonitis	10
prostatitis	83
epididimitis	54
orquitis	58
oftalmía	51
gonococo	57
otra	712
endoftalmía	5
osteomuscular	8
espondilopatía	113
osteomusculares	3
linfadenitis	185
queratodermia	162
linfogranuloma	51
venéreo	61
clamidias	90
bubón	37
climático	9
tropical	152
durand-nicolas-favre	4
estiomene	1
inguinal	1507
transmisión	467
sexual	1715
pelviperitoneo	1
genitourinarios	60
faringe	830
blando	449
chancroide	30
granuloma	689
donovanosis	13
urogenital	150
flujo	1338
vaginal	2930
tricomonas	52
leucorrea	16
anogenital	113
herpes	1368
simple	2039
herpesvirus	203
pene	1725
vaginitis	115
vulvitis	81
perianal	288
predominantemente	98
verrugas	112
venéreas	28
anogenitales	12
acuminado	35
